,tmp0,tmp1,hPa,hum,pp
616,33.39,43.1,979.0,0.34,0.0
617,8.41,8.66,941.0,0.69,0.0
618,34.84,43.1,989.0,0.92,0.0
619,35.97,35.97,919.0,0.98,1646.0
620,29.54,37.57,1097.0,0.97,0.0
621,16.99,21.84,976.0,0.57,0.0
622,28.73,32.83,1067.0,0.65,0.0
623,15.68,18.37,922.0,0.55,0.0
624,17.74,22.94,1103.0,0.19,0.0
625,40.19,51.93,1041.0,0.52,0.0
626,12.57,13.71,1031.0,0.15,0.0
627,28.45,28.96,993.0,0.34,0.0
628,23.12,29.43,948.0,0.07,0.0
629,8.01,8.4,921.0,0.3,0.0
630,7.84,9.25,1022.0,0.57,0.0
631,37.14,29.43,1050.0,0.52,0.0
632,44.97,38.46,926.0,0.5,0.0
633,25.28,22.39,990.0,0.79,0.0
634,10.13,10.61,1091.0,0.71,0.0
635,26.17,19.34,1096.0,0.33,0.0
636,5.36,4.78,1088.0,0.89,0.0
637,22.37,21.9,971.0,0.36,0.0
638,0.94,1.02,977.0,0.49,0.0
639,10.05,10.63,971.0,0.39,0.0
640,20.64,16.41,1071.0,0.02,0.0
641,38.31,39.49,981.0,0.94,869.0
642,19.92,20.31,1087.0,0.51,0.0
643,26.53,21.83,944.0,0.99,1253.0
644,29.06,31.26,1023.0,0.64,0.0
645,7.91,7.82,1085.0,0.27,0.0
646,12.74,10.06,1002.0,0.82,0.0
647,1.32,1.44,1045.0,0.37,0.0
648,25.56,19.65,946.0,0.7,0.0
649,8.4,6.08,1048.0,0.98,2928.0
650,0.67,0.61,983.0,0.53,0.0
651,14.4,18.44,1012.0,0.56,0.0
652,29.74,32.05,1081.0,0.33,0.0
653,45.26,32.82,935.0,0.26,0.0
654,22.03,25.52,924.0,0.82,0.0
655,10.8,11.11,927.0,0.77,0.0
656,8.15,9.58,932.0,0.75,0.0
657,20.81,15.44,924.0,0.56,0.0
658,25.73,26.11,1029.0,0.58,0.0
659,7.32,7.63,1008.0,0.12,0.0
660,22.38,17.1,1032.0,0.89,1057.0
661,32.36,36.1,1064.0,0.84,0.0
662,37.55,40.29,962.0,0.81,0.0
663,9.58,11.2,932.0,0.79,0.0
664,42.01,35.94,1008.0,0.29,0.0
665,38.88,45.78,979.0,0.84,0.0
666,9.23,7.69,943.0,0.17,0.0
667,12.18,12.78,1087.0,0.84,0.0
668,11.26,10.13,990.0,0.77,0.0
669,21.29,17.56,930.0,0.1,0.0
670,44.53,36.17,1007.0,0.63,0.0
671,19.4,23.18,990.0,0.76,0.0
672,40.09,40.79,1075.0,0.44,0.0
673,0.62,0.57,966.0,0.68,0.0
674,15.18,18.33,1001.0,0.21,0.0
675,12.5,11.94,1058.0,0.4,0.0
676,11.74,11.51,1080.0,0.34,0.0
677,19.84,25.44,1085.0,0.83,0.0
678,7.16,5.52,1051.0,0.52,0.0
679,32.57,37.55,993.0,0.77,0.0
680,2.27,1.66,965.0,0.79,0.0
681,23.48,17.95,1109.0,0.92,3449.0
682,3.54,3.47,1024.0,0.03,0.0
683,1.06,1.08,1103.0,0.47,0.0
684,28.82,35.62,1100.0,0.25,0.0
685,30.17,36.1,1109.0,0.7,0.0
686,22.68,18.66,966.0,0.33,0.0
687,33.67,36.27,1035.0,0.3,0.0
688,7.71,8.19,993.0,0.42,0.0
689,34.06,29.23,965.0,0.89,3444.0
690,4.29,5.23,1009.0,0.46,0.0
691,12.49,15.53,1041.0,0.26,0.0
692,42.88,46.67,1089.0,0.75,0.0
693,43.57,44.05,1036.0,0.26,0.0
694,25.18,20.01,1044.0,0.88,3317.0
695,30.73,22.2,958.0,0.3,0.0
696,25.9,27.69,929.0,0.08,0.0
697,11.4,10.59,958.0,0.15,0.0
698,23.39,26.98,951.0,0.17,0.0
699,20.59,26.76,1083.0,0.15,0.0
700,5.36,5.12,1013.0,0.51,0.0
701,4.46,4.11,961.0,0.9,0.0
702,31.29,28.78,1019.0,0.73,0.0
703,1.39,1.37,1036.0,0.38,0.0
704,41.0,42.94,949.0,0.31,0.0
705,8.32,6.68,1044.0,0.57,0.0
706,15.14,12.93,938.0,0.64,0.0
707,37.08,41.05,1056.0,0.29,0.0
708,36.98,47.19,961.0,0.2,0.0
709,35.64,33.13,1017.0,0.79,0.0
710,1.31,1.66,1043.0,0.85,0.0
711,5.08,6.48,986.0,0.88,0.0
712,24.91,27.42,1019.0,0.05,0.0
713,27.15,22.84,944.0,0.94,824.0
714,40.38,47.22,1045.0,0.29,0.0
715,17.15,22.11,992.0,0.64,0.0
716,2.95,3.64,965.0,0.76,0.0
717,30.47,34.25,1037.0,0.44,0.0
718,33.62,31.89,958.0,0.59,0.0
719,29.9,23.54,969.0,0.79,2620.0
720,20.08,19.5,1055.0,0.56,0.0
721,36.35,44.37,975.0,0.84,0.0
722,2.68,3.2,1014.0,0.55,0.0
723,19.4,24.17,1015.0,0.27,0.0
724,21.12,17.81,1082.0,0.9,2735.0
725,29.16,25.19,917.0,0.73,0.0
726,35.99,43.74,1001.0,0.89,0.0
727,3.49,3.96,1006.0,0.35,0.0
728,5.86,6.08,938.0,0.14,0.0
729,13.42,17.39,989.0,0.71,0.0
730,33.66,42.39,1078.0,0.47,0.0
731,16.86,17.38,977.0,0.55,0.0
732,38.77,44.9,912.0,0.36,0.0
733,4.89,4.54,951.0,0.92,62.0
734,19.6,22.58,915.0,0.58,0.0
735,20.99,26.02,1075.0,0.15,0.0
736,31.07,36.93,1103.0,0.21,0.0
737,9.66,7.5,1008.0,0.81,0.0
738,37.57,33.86,1092.0,0.27,0.0
739,33.45,39.9,975.0,0.88,0.0
740,4.56,4.62,998.0,0.23,0.0
741,8.67,8.19,1064.0,0.2,0.0
742,1.11,0.87,929.0,0.96,1523.0
743,28.22,25.87,962.0,0.43,0.0
744,6.16,5.36,1060.0,0.83,0.0
745,2.65,2.76,960.0,0.83,0.0
746,35.21,37.1,946.0,0.68,0.0
747,21.22,21.88,1033.0,0.3,0.0
748,45.11,35.47,1017.0,0.0,0.0
749,31.94,27.97,1041.0,0.4,0.0
750,16.72,17.82,918.0,0.58,0.0
751,3.39,4.1,1005.0,0.93,0.0
752,33.02,35.57,979.0,0.66,0.0
753,14.28,12.31,1059.0,0.55,0.0
754,0.68,0.66,1035.0,0.38,0.0
755,5.97,5.79,1053.0,0.15,0.0
756,38.88,44.12,923.0,0.0,0.0
757,18.15,17.48,1012.0,0.75,0.0
758,36.9,41.49,1103.0,0.64,0.0
759,35.74,33.62,939.0,0.93,2346.0
760,15.14,18.63,950.0,0.7,0.0
761,15.12,19.31,1020.0,0.88,0.0
762,35.06,42.98,1018.0,0.76,0.0
763,37.03,30.61,921.0,0.59,0.0
764,42.65,45.36,1080.0,0.05,0.0
765,25.81,18.07,942.0,0.18,0.0
766,17.68,19.07,1072.0,0.36,0.0
767,27.16,23.22,930.0,0.77,0.0
768,44.71,33.26,944.0,0.28,0.0
769,10.54,8.4,1043.0,0.64,0.0
770,31.48,23.18,916.0,0.51,0.0
771,7.42,9.04,1107.0,0.52,0.0
772,21.28,16.38,1044.0,0.54,0.0
773,45.46,44.5,911.0,0.55,0.0
774,9.49,10.21,1013.0,0.04,0.0
775,28.49,25.38,1030.0,0.5,0.0
776,29.75,38.1,1094.0,0.87,0.0
777,10.03,12.29,1066.0,0.67,0.0
778,9.97,12.58,1067.0,0.25,0.0
779,38.61,39.49,997.0,0.9,0.0
780,1.41,1.32,1105.0,0.09,0.0
781,14.13,11.16,953.0,0.92,1268.0
782,4.94,5.95,1107.0,0.94,3460.0
783,38.53,43.89,915.0,0.7,0.0
784,7.63,8.6,942.0,0.19,0.0
785,40.75,30.12,1103.0,0.95,2256.0
786,36.18,30.59,1029.0,0.5,0.0
787,23.3,17.3,1044.0,0.05,0.0
788,14.0,10.62,1029.0,0.78,0.0
789,44.77,34.0,971.0,0.69,3253.0
790,20.56,16.37,1096.0,0.4,0.0
791,34.36,35.25,924.0,0.21,0.0
792,20.86,22.87,1005.0,0.74,0.0
793,38.88,42.28,1004.0,0.57,0.0
794,38.56,37.0,1040.0,0.93,2986.0
795,16.56,14.53,1094.0,0.59,0.0
796,19.48,13.79,1053.0,0.94,1164.0
797,44.88,38.58,950.0,0.12,0.0
798,42.27,37.88,932.0,0.51,0.0
799,9.35,8.82,1069.0,0.14,0.0
800,1.78,1.73,1064.0,0.75,0.0
801,38.67,48.14,1069.0,0.78,0.0
802,23.96,17.95,1004.0,0.51,0.0
803,7.11,5.03,1006.0,0.31,0.0
804,34.87,31.99,1055.0,0.4,0.0
805,28.84,35.44,1011.0,0.58,0.0
806,27.74,22.74,1038.0,0.34,0.0
807,25.47,32.69,1016.0,0.5,0.0
808,8.78,6.66,946.0,0.38,0.0
809,12.35,9.6,919.0,0.27,0.0
810,16.86,16.01,964.0,0.79,0.0
811,30.96,27.44,1084.0,0.4,0.0
812,18.88,23.89,937.0,0.41,0.0
813,23.75,24.62,1108.0,0.34,0.0
814,20.15,14.62,1019.0,0.84,2133.0
815,8.32,10.33,1065.0,0.48,0.0
816,8.92,6.98,1100.0,0.18,0.0
817,6.35,7.62,1072.0,0.96,0.0
818,37.66,42.88,913.0,0.28,0.0
819,0.34,0.33,1069.0,0.53,0.0
820,27.31,27.8,1055.0,0.49,0.0
821,33.26,35.7,1006.0,0.04,0.0
822,14.85,11.07,926.0,0.49,0.0
823,4.01,5.21,925.0,0.88,0.0
824,17.94,22.14,1039.0,0.96,0.0
825,0.48,0.6,1096.0,0.26,0.0
826,34.07,24.64,1049.0,0.13,0.0
827,9.8,8.27,952.0,0.45,0.0
828,11.0,9.36,1073.0,0.59,0.0
829,37.44,35.16,992.0,0.44,0.0
830,7.87,6.78,1113.0,0.07,0.0
831,30.44,29.3,919.0,0.01,0.0
832,23.75,29.81,960.0,0.25,0.0
833,12.58,9.59,1082.0,0.48,0.0
834,16.78,17.99,1038.0,0.36,0.0
835,18.29,23.76,954.0,0.97,0.0
836,39.08,27.51,1004.0,0.22,0.0
837,25.59,29.52,1106.0,0.86,0.0
838,31.9,23.28,1060.0,0.4,0.0
839,41.35,42.57,1078.0,0.8,0.0
840,28.61,36.7,936.0,0.76,0.0
841,23.02,23.65,953.0,0.99,760.0
842,16.61,14.56,996.0,0.44,0.0
843,13.31,13.7,914.0,0.22,0.0
844,31.17,24.57,1058.0,0.48,0.0
845,25.76,28.63,1026.0,0.67,0.0
846,38.58,49.26,1085.0,0.59,0.0
847,0.11,0.11,911.0,0.37,0.0
848,7.7,8.4,1076.0,0.02,0.0
849,36.25,26.02,1096.0,0.53,0.0
850,30.21,29.99,1083.0,0.7,0.0
851,35.69,31.51,964.0,0.82,1085.0
852,16.97,14.3,1054.0,0.5,0.0
853,6.52,5.21,990.0,0.91,2098.0
854,44.94,52.11,998.0,0.51,0.0
855,21.38,18.22,959.0,0.17,0.0
856,23.96,22.81,1109.0,0.43,0.0
857,24.23,25.36,993.0,0.1,0.0
858,12.46,10.89,926.0,0.56,0.0
859,10.86,12.29,1019.0,0.78,0.0
860,1.11,1.35,1044.0,0.55,0.0
861,34.14,30.54,1013.0,0.03,0.0
862,9.62,11.97,1070.0,0.72,0.0
863,27.43,22.38,1033.0,0.13,0.0
864,32.29,28.09,1051.0,0.49,0.0
865,13.22,16.88,1068.0,0.85,0.0
866,44.69,35.23,1049.0,0.39,0.0
867,34.94,39.8,1064.0,0.53,0.0
868,15.94,14.22,999.0,0.99,1877.0
869,1.9,1.8,940.0,0.65,0.0
870,11.68,11.92,1017.0,0.47,0.0
871,44.69,50.22,1007.0,0.27,0.0
872,42.35,46.29,1078.0,0.01,0.0
873,23.76,20.05,1024.0,0.42,0.0
874,14.65,13.28,1022.0,0.25,0.0
875,41.9,38.48,1091.0,0.58,0.0
876,19.78,16.27,1044.0,0.67,0.0
877,13.67,16.78,1039.0,0.43,0.0
878,10.62,10.03,1046.0,0.65,0.0
879,8.57,8.28,1002.0,0.78,0.0
880,23.69,21.83,1082.0,0.26,0.0
881,23.01,18.44,1013.0,0.37,0.0
882,18.75,17.6,955.0,0.23,0.0
883,10.73,13.05,919.0,0.43,0.0
884,37.32,27.65,1022.0,0.32,0.0
885,31.85,34.36,1046.0,0.14,0.0
886,40.02,37.88,929.0,0.5,0.0
887,31.55,29.0,1013.0,0.49,0.0
888,15.54,19.54,1069.0,0.36,0.0
889,4.52,3.49,1111.0,0.91,0.0
890,14.71,15.16,1005.0,0.71,0.0
891,13.21,9.37,1107.0,0.54,0.0
892,43.68,37.3,912.0,0.1,0.0
893,32.87,42.5,1095.0,0.51,0.0
894,42.33,54.82,1000.0,0.13,0.0
895,22.39,21.25,928.0,0.45,0.0
896,39.63,32.74,1102.0,0.76,1000.0
897,45.21,54.44,1003.0,0.32,0.0
898,22.92,18.25,1076.0,0.97,250.0
899,19.74,25.33,1103.0,0.82,0.0
900,6.33,7.78,1088.0,0.51,0.0
901,24.3,28.83,1071.0,0.66,0.0
902,29.98,35.04,1015.0,0.02,0.0
903,41.56,43.77,1019.0,0.39,0.0
904,43.33,54.69,941.0,0.44,0.0
905,20.29,20.13,1070.0,0.2,0.0
906,25.85,29.33,950.0,0.52,0.0
907,43.88,54.11,938.0,0.24,0.0
908,32.03,36.68,955.0,0.63,0.0
909,7.78,6.11,1018.0,0.31,0.0
910,43.62,36.99,979.0,0.43,0.0
911,9.84,11.2,966.0,0.44,0.0
912,1.42,1.42,1006.0,0.1,0.0
913,13.07,13.11,932.0,0.97,3932.0
914,4.62,4.84,1052.0,0.47,0.0
915,9.24,8.42,957.0,0.5,0.0
916,5.81,5.82,1106.0,0.63,0.0
917,26.57,20.88,1098.0,0.46,0.0
918,33.41,37.93,1031.0,0.37,0.0
919,39.19,36.91,1084.0,0.12,0.0
920,44.07,57.0,1087.0,0.24,0.0
921,35.88,32.11,922.0,0.14,0.0
922,0.33,0.38,1080.0,0.63,0.0
923,10.95,8.89,1071.0,0.25,0.0
924,18.02,22.83,1099.0,0.59,0.0
925,32.31,34.43,1009.0,0.22,0.0
926,10.68,8.92,926.0,0.86,0.0
927,38.73,47.39,1056.0,0.27,0.0
928,5.17,3.67,1064.0,0.82,0.0
929,12.63,12.89,987.0,0.74,0.0
930,27.9,22.63,972.0,0.49,0.0
931,41.99,45.47,925.0,0.12,0.0
932,28.31,25.6,1085.0,0.16,0.0
933,14.44,16.16,1015.0,0.72,0.0
934,44.84,47.74,935.0,0.96,0.0
935,30.95,25.58,1072.0,0.3,0.0
936,12.42,13.57,1023.0,0.02,0.0
937,27.16,20.35,926.0,1.0,1653.0
938,18.7,15.49,1075.0,0.3,0.0
939,11.96,13.55,971.0,0.15,0.0
940,39.47,33.83,1051.0,0.88,1888.0
941,3.87,2.77,954.0,0.21,0.0
942,1.39,1.77,1040.0,0.26,0.0
943,22.62,25.21,1106.0,0.61,0.0
944,15.92,18.16,1098.0,0.98,0.0
945,40.3,39.08,915.0,0.79,0.0
946,15.56,18.07,989.0,0.46,0.0
947,16.04,14.44,1038.0,0.12,0.0
948,13.1,10.22,954.0,0.06,0.0
949,30.68,31.73,1065.0,0.34,0.0
950,15.3,13.07,1045.0,0.72,0.0
951,2.15,1.79,971.0,0.83,0.0
952,26.44,29.0,1000.0,0.68,0.0
953,23.08,29.33,1014.0,0.4,0.0
954,30.11,28.14,935.0,0.04,0.0
955,25.96,28.88,1027.0,0.68,0.0
956,0.39,0.36,1005.0,0.21,0.0
957,41.05,52.97,1063.0,0.35,0.0
958,4.29,5.24,1082.0,0.09,0.0
959,13.21,13.96,1041.0,0.37,0.0
960,8.43,8.32,1100.0,0.78,0.0
961,45.1,34.73,965.0,0.36,0.0
962,12.48,11.94,948.0,0.5,0.0
963,32.4,27.15,995.0,0.6,0.0
964,23.92,18.14,976.0,0.29,0.0
965,38.88,33.93,960.0,0.27,0.0
966,14.37,12.56,955.0,0.24,0.0
967,32.39,39.41,1058.0,0.03,0.0
968,0.86,0.65,1023.0,0.92,244.0
969,5.17,5.07,1049.0,0.43,0.0
970,42.09,43.97,1019.0,0.07,0.0
971,28.16,23.07,1074.0,0.3,0.0
972,38.59,49.62,961.0,0.87,0.0
973,27.93,29.29,1021.0,0.84,0.0
974,2.83,2.25,1031.0,0.75,0.0
975,40.39,48.07,987.0,0.44,0.0
976,3.02,2.29,1100.0,0.1,0.0
977,26.58,19.87,1062.0,0.54,0.0
978,18.52,22.53,994.0,0.41,0.0
979,25.33,27.49,950.0,0.94,3926.0
980,24.5,30.79,951.0,0.83,0.0
981,43.12,42.85,1110.0,0.94,75.0
982,33.97,38.12,1093.0,0.42,0.0
983,14.83,16.37,1069.0,0.65,0.0
984,33.57,34.18,981.0,0.85,0.0
985,38.24,49.07,1100.0,0.25,0.0
986,18.15,19.36,1048.0,0.07,0.0
987,37.55,34.41,922.0,0.25,0.0
988,30.9,21.84,1034.0,0.78,3002.0
989,10.24,7.18,949.0,0.77,0.0
990,40.65,52.72,1097.0,0.3,0.0
991,9.41,7.66,1032.0,0.27,0.0
992,8.65,6.72,1112.0,0.53,0.0
993,8.37,10.54,923.0,0.52,0.0
994,16.39,12.99,916.0,0.3,0.0
995,33.1,39.72,1044.0,0.49,0.0
996,1.96,2.52,979.0,0.66,0.0
997,8.32,8.52,995.0,0.62,0.0
998,41.95,52.81,1113.0,0.52,0.0
999,21.68,21.32,1108.0,0.62,0.0
1000,21.96,20.19,1098.0,0.27,0.0
1001,23.21,25.33,1086.0,0.03,0.0
1002,42.96,39.2,1061.0,0.53,0.0
1003,37.78,41.53,1110.0,0.15,0.0
1004,14.18,17.64,977.0,0.76,0.0
1005,34.33,29.74,1000.0,0.17,0.0
1006,15.85,15.63,1113.0,0.57,0.0
1007,6.01,5.43,956.0,0.53,0.0
1008,10.44,8.12,951.0,0.65,0.0
1009,29.47,33.97,1001.0,0.49,0.0
1010,43.36,42.6,1022.0,0.92,1520.0
1011,34.48,39.03,950.0,0.66,0.0
1012,24.38,22.49,921.0,0.23,0.0
1013,33.68,40.74,1071.0,0.33,0.0
1014,30.64,27.89,1095.0,0.68,0.0
1015,15.7,19.91,1038.0,0.94,0.0
1016,30.79,30.96,1041.0,0.04,0.0
1017,21.25,21.25,972.0,0.82,0.0
1018,6.59,7.89,970.0,0.23,0.0
1019,24.95,20.41,915.0,0.67,0.0
1020,24.55,29.77,1086.0,0.18,0.0
1021,15.69,18.46,940.0,0.7,0.0
1022,14.71,13.18,1065.0,0.21,0.0
1023,8.35,10.3,994.0,0.96,0.0
1024,6.98,8.26,934.0,0.36,0.0
1025,29.03,33.6,959.0,0.87,0.0
1026,20.52,26.18,1107.0,0.54,0.0
1027,39.81,37.83,997.0,0.27,0.0
1028,39.73,34.38,977.0,0.32,0.0
1029,27.6,21.3,963.0,0.09,0.0
1030,32.75,30.48,991.0,0.89,3136.0
1031,12.23,14.28,1024.0,0.89,0.0
1032,43.91,54.16,1077.0,0.42,0.0
1033,36.58,28.2,1006.0,0.93,892.0
1034,12.52,15.1,1039.0,0.19,0.0
1035,25.84,22.22,1092.0,0.11,0.0
1036,17.62,12.92,1073.0,0.7,0.0
1037,21.01,17.07,986.0,0.23,0.0
1038,16.26,14.68,1035.0,0.47,0.0
1039,20.35,16.68,1031.0,0.4,0.0
1040,24.54,24.17,1054.0,0.52,0.0
1041,14.88,14.52,1058.0,0.27,0.0
1042,21.81,15.95,1066.0,0.93,2365.0
1043,8.84,7.05,1085.0,0.87,704.0
1044,22.09,18.93,938.0,0.03,0.0
1045,30.74,34.03,1025.0,0.1,0.0
1046,36.64,31.28,1050.0,0.69,0.0
1047,40.67,37.27,945.0,0.21,0.0
1048,26.43,30.89,1039.0,0.99,0.0
1049,41.86,44.91,1034.0,0.21,0.0
1050,24.27,25.54,1042.0,0.65,0.0
1051,31.82,37.65,922.0,0.54,0.0
1052,10.4,12.99,1087.0,0.79,0.0
1053,23.41,16.86,1050.0,0.0,0.0
1054,42.74,31.43,1107.0,0.81,3915.0
1055,42.51,52.02,1043.0,0.35,0.0
1056,32.14,25.07,941.0,0.63,0.0
1057,13.53,9.96,920.0,0.6,0.0
1058,36.98,43.37,915.0,0.93,0.0
1059,43.1,53.06,1069.0,0.78,0.0
1060,7.09,7.15,1084.0,0.45,0.0
1061,12.57,14.69,1100.0,0.62,0.0
1062,15.13,10.66,997.0,0.44,0.0
1063,13.0,10.3,953.0,0.97,1351.0
1064,32.44,40.01,998.0,0.35,0.0
1065,17.48,18.41,1103.0,0.14,0.0
1066,15.64,14.52,1055.0,0.34,0.0
1067,28.94,31.96,1068.0,0.67,0.0
1068,30.48,32.46,1059.0,0.11,0.0
1069,26.78,26.09,1019.0,0.31,0.0
1070,22.43,18.86,965.0,0.43,0.0
1071,17.33,19.62,932.0,0.42,0.0
1072,27.17,19.81,972.0,0.69,0.0
1073,29.01,20.7,978.0,0.87,295.0
1074,3.34,3.13,1041.0,0.07,0.0
1075,31.6,28.19,1032.0,0.26,0.0
1076,10.62,10.83,1015.0,0.11,0.0
1077,12.48,11.39,1100.0,0.54,0.0
1078,1.35,1.29,978.0,0.05,0.0
1079,40.2,46.94,1045.0,0.5,0.0
1080,20.15,19.55,969.0,0.17,0.0
1081,37.8,37.25,958.0,0.66,0.0
1082,24.91,25.89,1092.0,0.51,0.0
1083,27.4,25.66,1093.0,0.6,0.0
1084,8.24,10.43,932.0,0.59,0.0
1085,13.62,9.96,917.0,0.49,0.0
1086,1.83,1.43,1065.0,0.19,0.0
1087,6.68,5.82,913.0,0.08,0.0
1088,24.63,20.59,961.0,0.88,3011.0
1089,24.16,26.54,1025.0,0.37,0.0
1090,11.39,11.75,1020.0,0.47,0.0
1091,41.8,47.44,988.0,0.77,0.0
1092,20.78,20.02,1007.0,0.13,0.0
1093,19.32,21.17,1076.0,0.63,0.0
1094,6.4,6.7,1050.0,0.12,0.0
1095,13.75,13.05,956.0,0.35,0.0
1096,29.52,34.98,1023.0,0.02,0.0
1097,41.35,49.42,1013.0,0.0,0.0
1098,27.39,35.3,960.0,0.18,0.0
1099,8.24,8.79,919.0,0.01,0.0
1100,34.51,42.43,1022.0,0.08,0.0
1101,18.02,16.2,1075.0,0.68,0.0
1102,41.03,35.45,1019.0,0.12,0.0
1103,44.22,55.67,1096.0,0.59,0.0
1104,10.53,7.86,1004.0,0.49,0.0
1105,15.91,18.83,1048.0,0.13,0.0
1106,43.03,47.8,946.0,0.97,0.0
1107,15.05,16.3,920.0,0.65,0.0
1108,9.53,9.86,1096.0,0.56,0.0
1109,12.9,12.45,930.0,0.67,0.0
1110,29.12,25.09,912.0,0.7,0.0
1111,45.02,52.17,959.0,0.87,0.0
1112,0.04,0.04,1019.0,0.32,0.0
1113,11.5,11.13,1108.0,0.4,0.0
1114,38.37,46.5,1026.0,0.14,0.0
1115,8.72,8.82,937.0,0.43,0.0
1116,10.85,12.53,912.0,0.48,0.0
1117,13.84,15.98,978.0,0.12,0.0
1118,30.17,26.86,990.0,0.81,0.0
1119,25.05,18.19,1000.0,0.06,0.0
1120,11.16,8.92,968.0,0.83,0.0
1121,40.42,38.84,1053.0,0.07,0.0
1122,7.67,8.06,995.0,0.83,0.0
1123,27.85,31.09,986.0,0.96,0.0
1124,33.86,39.26,1030.0,0.18,0.0
1125,4.24,4.62,1066.0,0.81,0.0
1126,15.54,15.92,1073.0,0.85,0.0
1127,39.34,46.48,1070.0,0.63,0.0
1128,31.1,27.81,1030.0,0.27,0.0
1129,16.83,14.05,1051.0,0.86,1006.0
1130,26.58,22.07,930.0,0.83,2145.0
1131,42.67,44.13,1068.0,0.37,0.0
1132,28.24,27.6,930.0,0.2,0.0
1133,37.94,37.66,964.0,0.13,0.0
1134,13.55,16.44,1000.0,0.05,0.0
1135,14.43,10.58,922.0,0.23,0.0
1136,23.65,22.75,975.0,0.14,0.0
1137,26.1,30.01,918.0,0.77,0.0
1138,30.63,24.96,1001.0,0.92,1361.0
1139,41.86,53.18,1020.0,0.34,0.0
1140,9.79,9.83,956.0,0.42,0.0
1141,38.8,35.81,942.0,0.21,0.0
1142,32.47,32.66,1009.0,0.65,0.0
1143,23.64,23.05,984.0,0.4,0.0
1144,43.28,54.64,1069.0,0.55,0.0
1145,7.35,7.76,1044.0,0.55,0.0
1146,7.05,8.88,1090.0,0.45,0.0
1147,23.2,21.4,973.0,0.14,0.0
1148,22.07,18.89,1111.0,0.51,0.0
1149,34.32,31.46,1034.0,0.61,0.0
1150,42.28,36.73,985.0,0.12,0.0
1151,43.32,37.72,960.0,0.11,0.0
1152,6.75,7.8,995.0,0.34,0.0
1153,41.2,50.95,992.0,0.14,0.0
1154,44.53,35.58,988.0,0.29,0.0
1155,0.88,1.0,977.0,0.2,0.0
1156,45.2,40.29,1030.0,0.06,0.0
1157,21.72,25.46,1076.0,0.54,0.0
1158,8.65,9.57,1008.0,0.99,1317.0
1159,2.88,3.04,985.0,0.46,0.0
1160,34.03,27.02,1090.0,0.39,0.0
1161,38.68,41.86,1035.0,0.27,0.0
1162,19.08,22.61,932.0,0.51,0.0
1163,42.56,38.68,954.0,0.82,2767.0
1164,45.48,49.24,1012.0,0.54,0.0
1165,9.49,10.14,958.0,0.56,0.0
1166,6.27,6.45,926.0,0.51,0.0
1167,39.23,45.59,1019.0,0.2,0.0
1168,36.07,33.12,1001.0,0.03,0.0
1169,33.82,28.77,939.0,0.75,0.0
1170,20.46,24.67,1093.0,0.59,0.0
1171,42.91,53.38,953.0,0.1,0.0
1172,20.53,22.24,1018.0,0.4,0.0
1173,7.31,7.52,925.0,0.33,0.0
1174,9.29,9.06,1051.0,0.01,0.0
1175,25.36,19.91,1056.0,0.78,0.0
1176,40.43,50.68,988.0,0.14,0.0
1177,24.7,28.53,979.0,0.29,0.0
1178,7.79,7.79,955.0,0.02,0.0
1179,40.72,33.97,1039.0,0.49,0.0
1180,40.41,41.07,1013.0,0.74,0.0
1181,33.33,32.14,1063.0,0.43,0.0
1182,44.12,39.78,1074.0,0.73,0.0
1183,9.49,10.02,951.0,0.81,0.0
1184,37.68,42.04,1067.0,0.33,0.0
1185,24.38,19.35,1012.0,0.15,0.0
1186,25.31,23.76,918.0,0.15,0.0
1187,19.22,16.8,1064.0,0.53,0.0
1188,22.78,19.13,1097.0,0.76,0.0
1189,30.44,27.26,1031.0,0.69,0.0
1190,3.69,3.5,1092.0,0.59,0.0
1191,3.63,3.57,966.0,0.9,3906.0
1192,6.62,6.54,948.0,0.88,0.0
1193,35.79,30.31,1076.0,0.25,0.0
1194,27.68,31.93,935.0,0.18,0.0
1195,25.7,28.27,1033.0,0.53,0.0
1196,14.92,17.7,1102.0,0.66,0.0
1197,20.53,25.96,987.0,0.58,0.0
1198,35.79,41.49,991.0,0.37,0.0
1199,18.25,17.99,915.0,0.83,0.0
1200,31.57,25.92,1019.0,0.05,0.0
1201,32.36,39.45,990.0,0.16,0.0
1202,24.19,30.44,1052.0,0.04,0.0
1203,20.3,14.57,925.0,0.79,0.0
1204,39.17,41.84,1016.0,0.97,0.0
1205,23.84,17.29,1005.0,0.19,0.0
1206,33.93,35.18,1111.0,0.19,0.0
1207,6.02,5.72,953.0,0.52,0.0
1208,32.31,28.46,1028.0,0.73,0.0
1209,41.25,47.14,1009.0,0.83,0.0
1210,45.28,33.32,967.0,0.36,0.0
1211,26.21,27.08,914.0,0.92,2356.0
1212,33.25,23.35,991.0,0.53,0.0
1213,11.94,11.17,953.0,0.26,0.0
1214,29.62,24.75,1015.0,0.2,0.0
1215,18.0,14.72,950.0,0.2,0.0
1216,16.35,11.46,985.0,0.98,628.0
1217,15.66,17.53,969.0,0.01,0.0
1218,34.29,32.38,1098.0,0.34,0.0
1219,14.16,13.85,1015.0,0.56,0.0
1220,6.2,7.79,1066.0,0.15,0.0
1221,33.85,31.68,1015.0,0.25,0.0
1222,42.94,36.4,1112.0,0.11,0.0
